; Number of ROIs: 2
; File Dimension: 507 x 624
;
; ROI name: water
; ROI rgb value: {72, 72, 255}
; ROI npts: 4335
;
; ROI name: land
; ROI rgb value: {255, 206, 116}
; ROI npts: 3300
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1, B2, B3, B4
 6432,  7135,  764280.0000,  2628650.0000,  23.74722181,  119.59269809,  361,  296,  144,   93
 6433,  7135,  764290.0000,  2628650.0000,  23.74722016,  119.59279612,  390,  294,  141,   93
 6434,  7135,  764300.0000,  2628650.0000,  23.74721852,  119.59289414,  386,  297,  133,   90
 6435,  7135,  764310.0000,  2628650.0000,  23.74721687,  119.59299217,  399,  316,  140,   95
 6436,  7135,  764320.0000,  2628650.0000,  23.74721522,  119.59309020,  372,  321,  142,   91
 6437,  7135,  764330.0000,  2628650.0000,  23.74721358,  119.59318822,  372,  320,  143,   92
 6438,  7135,  764340.0000,  2628650.0000,  23.74721193,  119.59328625,  376,  319,  140,   95
 6439,  7135,  764350.0000,  2628650.0000,  23.74721029,  119.59338428,  366,  306,  142,   87
 6440,  7135,  764360.0000,  2628650.0000,  23.74720864,  119.59348230,  375,  324,  128,   81
 6441,  7135,  764370.0000,  2628650.0000,  23.74720700,  119.59358033,  374,  330,  141,   86
 6442,  7135,  764380.0000,  2628650.0000,  23.74720535,  119.59367835,  392,  331,  138,   96
 6443,  7135,  764390.0000,  2628650.0000,  23.74720370,  119.59377638,  379,  331,  130,   79
 6444,  7135,  764400.0000,  2628650.0000,  23.74720206,  119.59387441,  357,  310,  122,   85
 6445,  7135,  764410.0000,  2628650.0000,  23.74720041,  119.59397243,  353,  302,  123,   85
 6446,  7135,  764420.0000,  2628650.0000,  23.74719876,  119.59407046,  337,  312,  121,   82
 6447,  7135,  764430.0000,  2628650.0000,  23.74719712,  119.59416848,  348,  300,  129,   88
 6448,  7135,  764440.0000,  2628650.0000,  23.74719547,  119.59426651,  378,  304,  134,   91
 6449,  7135,  764450.0000,  2628650.0000,  23.74719383,  119.59436453,  364,  318,  139,   86
 6450,  7135,  764460.0000,  2628650.0000,  23.74719218,  119.59446256,  369,  317,  138,   81
 6451,  7135,  764470.0000,  2628650.0000,  23.74719053,  119.59456059,  390,  321,  135,   83
 6452,  7135,  764480.0000,  2628650.0000,  23.74718889,  119.59465861,  370,  324,  126,   80
 6453,  7135,  764490.0000,  2628650.0000,  23.74718724,  119.59475664,  372,  330,  118,   79
 6454,  7135,  764500.0000,  2628650.0000,  23.74718559,  119.59485466,  352,  322,  110,   84
 6455,  7135,  764510.0000,  2628650.0000,  23.74718395,  119.59495269,  358,  311,  112,   69
 6456,  7135,  764520.0000,  2628650.0000,  23.74718230,  119.59505072,  382,  309,  130,   80
 6457,  7135,  764530.0000,  2628650.0000,  23.74718065,  119.59514874,  377,  326,  116,   82
 6458,  7135,  764540.0000,  2628650.0000,  23.74717900,  119.59524677,  360,  330,  133,   78
 6459,  7135,  764550.0000,  2628650.0000,  23.74717736,  119.59534479,  354,  308,  127,   79
 6460,  7135,  764560.0000,  2628650.0000,  23.74717571,  119.59544282,  368,  319,  131,   79
 6461,  7135,  764570.0000,  2628650.0000,  23.74717406,  119.59554085,  361,  316,  132,   79
 6462,  7135,  764580.0000,  2628650.0000,  23.74717242,  119.59563887,  378,  310,  117,   73
 6463,  7135,  764590.0000,  2628650.0000,  23.74717077,  119.59573690,  373,  328,  125,   68
 6464,  7135,  764600.0000,  2628650.0000,  23.74716912,  119.59583492,  352,  328,  128,   70
 6465,  7135,  764610.0000,  2628650.0000,  23.74716747,  119.59593295,  375,  327,  113,   85
 6466,  7135,  764620.0000,  2628650.0000,  23.74716583,  119.59603097,  356,  327,  110,   88
 6467,  7135,  764630.0000,  2628650.0000,  23.74716418,  119.59612900,  361,  325,  109,   88
 6468,  7135,  764640.0000,  2628650.0000,  23.74716253,  119.59622703,  384,  320,  127,   79
